COD,Name,Date,Validity,Description,Category,Social,Byproducts,Deviance,Francoism (until 1978),Constitution (after 1978),European Union (after 1985),Crisis (After 2007),Population (Biopolitics),How - Population,Security (Conduct),How - Security,Territory (Sovereignty),How - territory,Ecology,How - ecology,Economics,How - economics,Terrorism,How - terrorism,Toxicity,How - toxicity,Gender,How - gender,Sexuality,How - sexuality,Race,How - race,Class,How - class
DMRDMT_6,"Real Decreto 842/1985, de 25 de mayo, por el que se desarrolla lo dispuesto en el capítulo IX del Código Alimentario Español, sobre las condiciones generales que, para uso doméstico y de la población infantil, deben reunir los disolventes, colas, pegamentos, pinturas, tintas, barnices y otros materiales análogos.",25/05/1985,1985-1989,"Es principio general de seguridad que los productos, actividades y servicios puestos en el mercado a disposición de los consumidores no impliquen riesgos para su salud o seguridad física, salvo lo usual o reglamentariamente admitidos en condiciones normales y previsibles de utilización.",O,No,"Yes, Disolventes",No,No,Yes,Yes,No,Yes,"Afecta_alimentos, Consumidores_usuarios, Riesgo_salud_humana, Salud_pública, Salud_vidas_humanas, Alimentación, Población_infantil, Seguridad_salud_públicos, Amenaza_seguridad_de_personas",Yes,"Mecanismos_de_responsabilidad, Categorías_riesgos",Yes,España,No,No,Yes,"Byproducts, Estructuras_industriales_comerciales, Compra_venta",No,No,Yes,"Efectos_nocivos_sustancias_nocivas, Byproducts, Sustancias_tóxicas, Afecta_alimentos, Sustancias_peligrosas",No,No,No,No,No,No,No,No
ECDIMA_1,"Documentos relativos a la adhesión del Reino de Espana y de la Republica Portuguesa a las Comunidades Europeas, Dictamen de la Comision, de 31 de mayo de 1985, relativo a las solicitudes de adhesión a las Comunidades Europeas del Reino de Espana y de la Republica Portuguesa ",31/05/1985,1985-2015," Considerando que las condiciones de admisión de estos Estados y las adaptaciones de los Tratados constitutivos de las Comunidades que entraña su adhesión han sido negociadas en el seno de Conferencias entre las Comunidades y los Estados solicitantes ; que se ha asegurado la unicidad en la representación de las Comunidades , respetando el diálogo institucional organizado en los Tratados ; ",F,Yes,No,No,No,Yes,Yes,Yes,Yes,"Afecta_trabajadores, Créditos_finalidad_social, Emigración_movimiento_migratorio, Familia",No,No,Yes,"Europa, Reino_de_España, Territorio_nacional_estado_miembro",No,No,Yes,"Monopolio, Byproducts, Petróleo, Energía, Libre_comercialización_circulación, Liberalización, Competencia, Capital_privado, Crédito, Propiedad_mobiliaria, Inversión, Sector_inmobiliario_mercado, Defensa_de_la_competencia",No,No,No,No,No,No,No,No,No,No,No,No
ECAMA_2,Schengen Agreement,14/06/1985,1985-1999,"The Schengen agreement with its objective to abolish “checks at internal borders and movement of persons” (1985: 2) organizes the conditions of articulation for the forthcoming Spanish laws. If the internal borders are to be abolished in order to create an “internal market […] an area without internal frontiers” (1985: 1), the external borders need to be erected against unauthorized crossings: “the competent authorities shall use mobile units to exercise surveillance on external borders between crossing points” (1985). ",F,Yes,No,Yes,No,Yes,Yes,No,Yes,"Consumidores_usuarios, Afecta_población, Protección_del_consumidor, Salud_vidas_humanas, Amenaza_seguridad_de_personas, Aumenta_transporte_personas_mercancias, Aliens, Afecta_criminal",Yes,Sistema_de_prevención,Yes,"Combate_defensa_vigilancia_lucha, Europa,  Frontera_interna, Frontera_externa, Abolición_controles, Policía, Frontera, Control_frontera, Cross_border ",No,No,Yes,"Libre_comercialización_circulación, Aumenta_transporte_personas_mercancias",No,No,Yes,"Efectos_nocivos_Sustancias_nocivas, Sustancias_tóxicas, Contaminación_sustancias_perjudiciales, Sustancias_peligrosas, Alteración_orden_público, Afecta_criminal, Alien_reported_as_person_not_to_be_permitted_entry, Extradición, Ofensa, Crimen, Tráfico_drogas, Drogas",No,No,No,No,Yes,"Alien_reported_as_ person_not_to_be_permitted_entry, Applicant_for_asylum_seeker",No,No
Inmigración,"Ley Orgánica 7/1985, de 1 de julio, sobre derechos y libertades de los extranjeros en España.",01/07/1985,1986-2015,"La preocupación de la Ley por conjugar el respeto de los derechos y libertades de los extranjeros con el adecuado tratamiento de la inmigración alcanza uno de sus puntos más significativos en la regulación de la permanencia. Esta comprende tanto la estancia y sus prórrogas como la residencia propiamente dicha, cuyo carácter más estable aconseja considerar las circunstancias concurrentes en orden a su concesión. La residencia debe ser independiente de la estancia, a fin de que ésta no se configure, necesariamente, como un paso previo y no se acepte, por tanto, como hecho consumado la presencia de los extranjeros en nuestro país como medio para acceder a la condición de residentes.",C,No,No,Yes,No,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,
DMRDMO_3,"Real Decreto-ley 5/1985, de 12 de diciembre, de adaptación del Monopolio de Petróleos.",12/12/1985,1985-1992,"Ante el inmediato ingreso efectivo de España en las Comunidades Europeas es necesario conseguir, con la máxima urgencia, la adaptación del Monopolio de Petróleos que ya se iniciara con la promulgación de la Ley 45/1984, de Reordenación_reorganización del Sector Petrolero.Esta adaptación debe mantener como punto de partida la subsistencia del concepto jurídico-administrativo de Monopolio, toda vez que las finalidades que el Estado perseguía en 1927 con el establecimiento del Monopolio de Petróleos siguen hoy día parcialmente vigentes. La industria española del petróleo necesita una reestructuración que la sitúe en condiciones de competitividad y eficiencia similares a las existentes en los países de la Comunidad Económica Europea.",O,Yes,No,No,No,Yes,Yes,No,Yes,Esencial_para_desenvolvimiento_de_economía_española,No,No,Yes,"Europa, Reino_de_España",No,No,Yes,"Monopolio, Byproducts, Petróleo, Reordenación_reorganización, Competitividad, Estructuras_industriales_comerciales",No,No,No,No,No,No,No,No,No,No,No,No
ECAMA_1,The single European Act,17/02/1986,1986-2015,"The Community shall adopt measures with the aim of progressively establishing the internal market over a period expiring on 31 December 1992, in accordance with the provisions of this Article and of Articles 8b, 8c, 28, 57(20, 59, 70(1), 84, 100a, and 100b and without prejudice to the other provisions of this Treaty. The internal market shall comprise an area without internal frontiers in which the free movement of goods, persons, services and capital is ensured in accordance with the provisions of this Treaty.’",F,Yes,No,No,No,Yes,Yes,Yes,Yes,"Equilibrio_económico_financiero, Afecta_trabajadores, Afecta_población, Proteger_el_interés_económico_general, Protección_del_consumidor, Desequilibrios, Crecimiento_económico_progreso_desarrollo, Persona_jurídica, Riesgo_salud_humana, Salud_vidas_humanas, Amenaza_seguridad_de_personas, Interés_público, Justicia_social, Desarrollo_socioeconómico, Persona_natural_física, Democracia, Derechos_humanos, Igualdad, Libertad, Paz, Cohesión_económica_social",Yes,"Polluters_pay, Sistema_de_prevención, Límites_prudenciales, Programación_social_económica",Yes,"Combate_defensa_vigilancia, Europa, Territorio_nacional_estado_miembro, Mercado_interior, Persona_jurídica, Banco_central_europeo, Frontera_interna",Yes,"Medio_ambiente, Impactos_medioambientales, Protección_medioambiental, Medio_recurso_natural",Yes,"Energía, Libre_comercialización_circulación, Liberalización, Mercado_europeo_mercado_común, Eficiencia, Crecimiento_económico_progreso_desarrollo, Economías_desarrolladas, Reforma_estructural, Capital_privado, Política_monetaria, Mercado_abierto, Sistema_financiero",No,No,Yes,Contaminación,No,No,No,No,Yes,Extranjero,No,No
DMRDMA_11,"Real Decreto-ley 1/1986, de 14 de marzo, de medidas urgentes administrativas, financieras, fiscales y laborales.",14/04/1986,1986-2015,"A partir del 1 de enero de 1986, la economía española se ha visto sustancialmente afectada por nuestra adhesión a las Comunidades Europeas. Esta adhesión provocará, como efectos más destacados, la creciente liberalización de ampliación de mercados y la posibilidad de una mejor asignación de recursos a efectos de generar un incremento del crecimiento y bienestar. Las oportunidades que la adhesión a las Comunidades abre a nuestra economía deben ser aprovechadas. Por ello, las orientaciones de la política económica deben orientarse a facilitar una respuesta ágil mediante la creación del entorno institucional adecuado desde los primeros momentos de la incorporación.",F,Yes,No,No,No,Yes,Yes,Yes,Yes,"Equilibrio_económico_financiero, Afecta_ciudadanos, Crecimiento_económico_progreso_desarrollo, Creación_de_empleo, Bienestar_social, Nueva_etapa_nuestra_vida_comercial, Nuestra_vida_económica, Modernización",No,No,Yes,"Europa, Mercado_español_economía ",No,No,Yes,"Hidrocarburos, Estructuras_industriales_comerciales, Adaptación, Urgencia, Liberalización, Eficiencia, Flexibilización, Crecimiento_económico_progreso_desarrollo, Afecta_mercado, Sistema_financiero, Entidad_capital_riesgo",No,No,No,No,No,No,No,No,No,No,No,No
DMLMT_1,"Ley 20/1986, de 14 de mayo, Básica de Residuos Tóxicos y Peligrosos.",14/05/1986,1986-1995,"De acuerdo con el articulo 45 de la Constitución, es deber de los poderes públicos velar por la utilización racional de todos los recursos naturales para proteger y mejorar la calidad de vida. Ello implica la necesidad de corregir el deterioro ambiental que ocasiona la contaminación del suelo, del agua y del aire a causa de la generación de residuos tóxicos y peligrosos. Resulta preciso, en consecuencia, en orden al cumplimiento del mandato constitucional, establecer una regulación adecuada del tratamiento de esta clase de residuos, llenando así el vacío normativo existente en nuestro ordenamiento y proceder, además a la adaptación del mismo a las previsiones del Derecho comunitario.",O,No,"Yes, Residuos",No,No,Yes,Yes,No,Yes,"Emergencia_seguridad_salud_públicos, Mejorar_calidad_de_vida, Emergencia_Amenaza_seguridad_de_personas, Riesgo_salud_humana",Yes,"Mecanismos_de_responsabilidad, Sistema_de_prevención",Yes,"Europa, España",Yes,"Medio_ambiente, Medio_recurso_natural",Yes,"Byproducts, Consumidor_productor, Energía",No,No,Yes,"Contaminación, Efectos_nocivos_sustancias_nocivas, Byproducts, Sustancias_tóxicas, Mercancía_peligrosa, Sustancias_peligrosas, Almacenamiento_tratamiento_eliminación_valorización, Almacenamiento_tratamiento_eliminación_valorización",No,No,No,No,No,No,No,No
DMRDMA_2,"Real Decreto Legislativo 1298/1986, de 28 de junio, por el que se adaptan las normas legales en materia de establecimientos de crédito al ordenamiento jurídico de la Comunidad Económica Europea.",28/06/1986,1986-2014,"if during Franco it was the debtor who had become a pervasive figure, during the 1980’s and after the incorporation of Spain to the European Union, it will be the creditor who will become omnipresent, always in order to adapt the Spanish legislation “a las normas en la materia de la Comunidad Económica Europea” (1986: 23727).",F,No,Yes,No,No,Yes,Yes,Yes,Yes,Afecta_accionista_inversor,Yes,Responsabilidad_penal,Yes,"Europa, España, Mercado_interior, Banco_España",No,No,Yes,"Entidades_financieras_crédito, Banca_privada, Crédito, Solvencia",No,No,No,No,No,No,No,No,No,No,No,No
ECRDMA_1,"Real Decreto Legislativo 1298/1986, de 28 de junio, por el que se adaptan las normas legales en materia de establecimientos de crédito al ordenamiento jurídico de la Comunidad Económica Europea.",28/06/1986,1986-2014,"El artículo 1.º de la Ley 47/1985, de 27 de diciembre, de Bases de Delegación al Gobierno para la Aplicación del Derecho de las Comunidades Europeas, faculta al Gobierno para dictar normas con rango de Ley en el ámbito de las competencias del Estado sobre las materias reguladas por la leyes incluidas en el anexo, a fin de adecuarlas al ordenamiento jurídico comunitario.",F,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,"Español_extranjero, Europa, España, Banco_España",No,No,Yes,"Servicio_público, ICO, Entidades_financieras_crédito, Banca_privada, Crédito, Sector_hipotecario",No,No,No,No,No,No,No,No,No,No,No,No
ECRSMO_3,RESOLUCION DEL CONSEJO de 16 de septiembre de 1986 relativa a los nuevos objetivos de politica energetica comunitaria para 1995 y a la convergencia de las politicas de los Estados miembros,16/09/1986,1986-1995,"Enterado de la comunicacion de la Comision, de 13 de diciembre de 1984, sobre las ´politicas energeticas de los Estados miembros: principales problemas para el futuroª y de los trabajos de los Servicios de la Comision sobre ´la energia 2000ª",O,Yes,No,No,No,Yes,Yes,No,Yes,"Consumidores_usuarios, Abastecimiento_energético, Protección_del_consumidor_población",No,No,Yes,"Europa, Terrirorio_naciona",Yes,Medio_ambiente,Yes,"Hidrocarburos , Consumidor_productor, , Petróleo, Competitividad, Gas_natural, Energía, Mercado_europeo_mercado_común, Incertidumbre, Crecimiento_económico_progreso_desarrollo, Competencia, Mercado Libertad_intercambios, Aumento_demanda_energía, Ahorro_energético",No,No,No,No,No,No,No,No,No,No,No,No
DMOMA_1,Orden de 26 de septiembre de 1986 por la que se regula el acceso al Registro Administrativo de Sociedades y Fondos de Capital-Riesgo.,26/09/1986,1986-1999,"el articulo 15 del real decreto-ley 1/1986, de 14 de marzo, de medidas urgentes administrativas, financieras, fiscales y laborales crea, en el ministerio de economia y hacienda, el registro especial administrativo de sociedades y fondos de capital-riesgo. con el fin de facilitar el acceso de este nuevo tipo de entidades a los indicados registros y, consiguientemente, a los mercados financieros, se dicta la presente orden. su fin es puramente procedimental, sin perjuicio de que el gobierno o el ministerio de economia y hacienda, en base a la autorizacion contenida en el articulo 20 y la disposicion adicional unica del real decreto-ley 1/1986, de 14 de marzo, dicte las normas correspondientes sobre las entidades de capital-riesgo. ",F,No,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,España,No,No,Yes,"Urgencia, Nuevos_productos, Mercado_financiero, Entidad_capital_riesgo",No,No,No,No,No,No,No,No,No,No,No,No
VPRDMA_9,"Real Decreto 1494/1987, de 4 de diciembre, sobe medidas de financiación de actuaciones protegibles en materia de vivienda.",12/04/1987,1987-1989,"Próximo a finalizar el Plan Cuatrienal de Vivienda 1984-1985, la experiencia acumulada en materia de política de vivienda y la evolución del entorno económico y financiero actual y previsible para el futuro próximo aconsejan establecer un marco general de actuaciones estatales de apoyo a la vivienda que tenga en cuenta la nueva situación jurídica y económica que se deriva de la conjunción de los factores mencionados.",F,No,Yes,No,No,Yes,Yes,No,Yes,"Consumidores_usuarios, Afecta_usuario, Familia",Yes,Sujetos_obligados_al_pago,Yes,"Mercado_español_economía, España, Nuestra_política_crediticia",No,No,Yes,"Servicio_público, Entidades_financieras_crédito, Eficiencia, Flexibilización, Política_de_vivienda, Intervención_administrativa, Política_crediticia_sistema_crediticio, Capital_privado, Banca_privada, Crédito, Sistema_de_crédito, Viviendas_protección_estatal, Mercado_hipotecario, Hipoteca, Construcción_inmuebles_vivendas",No,No,No,No,No,No,No,No,No,No,No,No
DMLMO_11,"Ley 10/1987, de 15 de mayo, de disposiciones básicas para un desarrollo coordinado de actuaciones en materia de combustibles gaseosos.",15/05/1987,1987-1998,"El Gobierno fijará a las empresas concesionarias los precios de adquisición y transferencia de gas natural y de los gases licuados de petróleo. Se tendrá en cuenta para ello la necesidad de mantener el equilibrio económico y financiero de dichas empresas, considerando su implantación en el mercado, la optimización de la gestión de las mismas, la financiación de la investigación, la innovación y el desarrollo tecnológico y el cumplimiento de los objetivos de gasificación fijados por el Gobierno. Tales aspectos serán tenidos en cuenta en función de parámetros objetivos relacionados con la actividad de distribución y que se fijarán reglamentariamente.",O,Yes,No,No,No,Yes,Yes,No,Yes,Equilibrio_económico_financiero,No,No,Yes,Red_nacional_gasoductos,No,No,Yes,"Gas_natural, Energía, Expropiación_forzosa, Servicio_público",No,No,No,No,No,No,No,No,No,No,No,No
ECDEMO_4,"4_ Resolution of the Council of the European Communities and of the representatives of the Governments of the Member States, meeting within the Council of 19 October 1987 on the continuation and implementation of a European Community policy and action programme on the environment (1987-1992)",19/10/1987,1987-1992,"El enfoque preventivo  que implica la exigencia de un desarrollo economico y social que evite la creacion de problemas de medio ambiente  se ha convertido en el enfoque central. Se conside- raba que los recursos del medio ambiente constituian la base de todo desarrollo economico y social futuro, del que tambien se fijaban los limites. La prevencion deberia llevarse a cabo mediante la integracion de las exigencias medioambientales en la planificacion y la ejecucion de medidas en numerosos sectores economi- cos y sociales; se insistio en la importancia de una valoracion previa de la repercusion sobre el medio ambiente como instrumento de capital importancia para garantizar dicha integracion.",O,No,Yes,"Yes, General",No,Yes,Yes,No,Yes,"Estímulo_orden_social, Beneficios_sociedad, Equilibrio_económico_financiero, Consumidores_usuarios, Actividad_trabajadores, Mejorar_calidad_de_vida, Protección_del_consumidor, Crecimiento_económico_progreso_desarrollo, Creación_de_empleo, Riqueza_conjunto_sociedad, Riesgo_salud_humana, Salud_vidas_humanas, Necesidades_socioeconómicas_ecológicas",Yes,"Polluters_pay, Mecanismos_de_responsabilidad, Sistema_de_prevención, Responsabilidad_influir_conducta_consumidores, Evaluación_riesgo",Yes,"Nuestras_costas_playas, Destrucción_fauna_flora, Combate_defensa_vigilancia_lucha, Europa, Global, Territorio_nacional_estado_miembro, Costas_nacionales, Mercado_interior",Yes,"Medio_ambiente, Protección_medioambiental, Catástrofe_ecológica, Medio_recurso_natural, Protección_agua_medio_marino, Emisiones_atmósfera_agua_suelo , Atmósfera, Suelo, Necesidades_socioeconómicas_ecológicas",Yes,"Hidrocarburos, Byproducts, Industria_turística, Petróleo, Competitividad, Estructuras_industriales_comerciales, Energía, Libre_comercialización_circulación, Mercado_europeo_mercado_común, Crecimiento_económico_progreso_desarrollo, Aumento_progresivo_del_consumo_de_petróleo, Necesidades_socioeconómicas_ecológicas, Nuevos_productos, Afecta_mercado",No,No,Yes,"Contaminación, Petróleo, Contaminación_hidrocarburos, Contaminación_aguas_mar, Destrucción_fauna_flora, Vertidos_buques, Vertidos_Fábricas, Byproducts, Toxicidad, Sustancias_tóxicas, Sustancias_peligrosas, Lucha_contra_contaminación, Energía, Almacenamiento_tratamiento_eliminación_valorización, Reciclado",No,No,No,No,No,No,No,No
DMLMO_7,"Ley 25/1987, de 13 de noviembre, sobre concesión de dos créditos extraordinarios, por importe de 1.514.720.018 y 2.420.978.744 pesetas, respectivamente, para compensar a las Empresas damnificadas y a las Compañías aseguradoras a consecuencia del hundimiento del buque ""Urquiola""",19/11/1987,1987-1987,The law returns to the Urquiola’s 1976 oil spill through this new lens of environmental control of the oil’s toxicity. Two laws in 1987 and 1990 adopt a new politics of extraordinary credit concessions to the damaged Galician fishermen communities.,O,No,No,"Yes, Urquiola",No,Yes,Yes,No,Yes,Afecta_alimentos,No,No,No,No,No,No,Yes,"Gastos, Aseguradoras, Prohibición_pesca, Crédito_extraordinario",No,No,Yes,"Destrucción_fauna_flora, Vertidos_buques, Afecta_alimentos, Crudo",No,No,No,No,No,No,No,No
DMRDMT_8,"Real Decreto 725/1988, de 3 de junio, por el que se modifica el Reglamento sobre declaración de sustancias nuevas y clasificación, envasado y etiquetado de sustancias peligrosas, aprobado por Real Decreto 2216/1985, de 23 de octubre",03/06/1988,1988-1995,Se excluyen:6. Los residuos tóxicos y peligrosos.,O,No,"Yes, Sustancias",No,No,Yes,Yes,No,Yes,"Consumidores_usuarios, Riesgo_salud_humana",No,No,Yes,"Europa, España",No,No,Yes,"Byproducts, Estructuras_industriales_comerciales, Nuevos_productos",No,No,Yes,"Sustancias_tóxica, Sustancias_peligrosas",No,No,No,No,No,No,No,No
DMRDMT_11,"Real Decreto 833/1988, de 20 de julio, por el que se aprueba el Reglamento para la ejecución de la Ley 20/1986, Básica de Residuos Tóxicos y Peligrosos.",20/07/1988,1988-2015,Instalaciones de eliminación: Las instalaciones destinadas al confinamiento definitivo o destrucción de los residuos tóxicos y peligrosos.,O,No,"Yes, Residuos",No,No,Yes,Yes,Yes,Yes,"Emergencia_seguridad_salud_públicos, Responsabilidad_Civil, Salud_pública, Salud_vidas_humanas",Yes,"Responsabilidad_Civil, Mecanismos_de_responsabilidad, Sistema_de_prevención, Responsabilidad_penal, Categorías_riesgos, Valoración_daños",Yes,"Combate_defensa_vigilancia, Europa, España, Global",Yes,"Medio_ambient, Medio_recurso_natural",Yes,"Byproducts, Consumidor_productor, Estructuras_industriales_comerciales, Indemnización_compensatoria, Reparación ",No,No,Yes,"Muerte, Byproducts, Sustancias_tóxicas, Sustancias_peligrosas, Ecotoxicidad, Enfermedad, Almacenamiento_tratamiento_eliminación_valorización, Reciclado_recuperación_valorización, Almacenamiento_tratamiento_eliminación_valorización",No,No,No,No,No,No,No,No
DALMO_2,"Ley 22/1988, de 28 de julio, de Costas.",22/07/1988,1988-2015,"Nuestra costa está afectada, como ocurre en otros países del mundo, por un fuerte incremento de la población y la consiguiente intensificación de usos turístico, agrícola, industrial, de transporte, pesquero y otros. En efecto, en la orla litoral de una anchura de unos cinco kilómetros, que significa el 7 por 100 de nuestro territorio, la población española, que era a principios del presente siglo del orden del 12 por 100 de la población total, es actualmente alrededor del 35 por 100 de ésta, con una densidad cuatro veces superior a la media nacional. Esta proporción llega a su vez a triplicarse estacionalmente en ciertas zonas por la población turística, ya que el 82 por 100 de ésta se concentra en la costa.",O,No,No,"Yes, General",No,Yes,Yes,Yes,Yes,"Riesgo_salud_humana, Peligro_Salud_hombre, Salud_pública, Salud_vidas_humanas",Yes,"Responsabilidades_ Persona_física_jurídica, Sistema_de_prevención, Evitar_riesgo_contaminación",Yes,"Nuestras_costas_playas, Europa, Costas_nacionales",Yes,Medio_recurso_natural,Yes,"Industria_turística, Estructuras_industriales_comerciales",No,No,Yes,"Petróleo, Contaminación_hidrocarburos, Contaminación_aguas_mar, Destrucción_fauna_flora, Vertidos_buques, Vertidos_Fábricas, Byproducts",No,No,No,No,No,No,No,No
DMLMA_9,"Ley 24/1988, de 28 de julio, del Mercado de Valores.",28/07/1988,1988-2015,"La necesidad de una reforma global del mercado de valores se ha puesto de manifiesto repetidas veces en los últimos años. Ya en el año 1978, la Comisión para el estudio del Mercado de Valores señalaba en su Informe los múltiples problemas y carencias de dicho mercado. Aunque en los primeros años que siguieron a la publicación del Informe se abordaron algunas reformas, éstas tuvieron un carácter parcial y limitado, subsistiendo en gran parte los problemas allí apuntados, a los que se han ido sumando los propios de una evolución dinámica tanto de nuestro sistema financiero como de los de nuestro entorno.",F,Yes,No,No,No,Yes,Yes,Yes,Yes,"Crecimiento_económico_progreso_desarrollo, Persona_jurídica, Afecta_accionista_inversor",Yes,"Categorías_riesgos, Evaluación_riesgo, Riesgo_potencial, Inspecciones, Acción_peligro_interés_accionista_inversor, Seguridad_inversores, Normas_corrección_de_conducta",Yes,"Combate_defensa_vigilancia, Europa, Territorio_nacional_estado_miembro, Persona_jurídica",No,No,Yes,"Reordenación_reorganización, Servicio_público, Libre_comercialización_circulación, Entidades_financieras_crédito, Empresa_pública, Mercado_europeo_mercado_común, Estado_regulador_no_ejecutor, Reforma_estructural, Ahorro_gasto_inversión, Deuda_pública, Inversión, Sistema_financiero, Mercado_valores, Solvencia",No,No,Yes,Acción_peligro_interés_accionista_inversor,No,No,No,No,No,No,No,No
DMLMA_2,"Ley 26/1988, de 29 de julio, sobre Disciplina e Intervención de las Entidades de Crédito.",29/07/1988,1988-2014,"The forthcoming laws regarding the banking system and the credit regulation build on the dictatorship’s loss of sovereignty to international creditors consolidated in the Economic European Union. These laws will aim to follow in 1988, “la política promovida por la CEE de impulsar la creación de un marco común de supervisión de las entidades financieras” (23524); ",F,No,Yes,No,No,Yes,Yes,Yes,Yes,"Crecimiento_económico_progreso_desarrollo, Riqueza_conjunto_sociedad",Yes,"Mecanismos_de_responsabilidad, Responsabilidad_penal, Categorías_riesgos, Evaluación_riesgo, Riesgo_potencial, Inspecciones, Normas_corrección_de_conducta, Supervisión_administrativa, Riesgo_insolvencia, Normativa_sancionadora",Yes,"Combate_defensa_vigilancia, Europa, Banco_España",No,No,Yes,"Libre_comercialización_circulación, ICO, Entidades_financieras_crédito, Mercado_europeo_mercado_común, Eficiencia, Estado_regulador_no_ejecutor, Crecimiento_económico_progreso_desarrollo, Banca_privada, Insolvencia, Sistema_financiero, Solvencia",No,No,Yes,"Prácticas_que_incrementen_riesgo_insolvencia, Acciones_peligrosas_sancionables",No,No,No,No,No,No,No,No
DICMA_3,"Convenio entre el Reino de España y los Estados Unidos de América sobre Cooperación para la Defensa, anejos y canjes de notas anejas al mismo, hecho en Madrid el 1 de diciembre de 1988.",01/12/1988,1989-2007," UNIDOS POR EL COMUN IDEAL DE RESPETO A LOS PRINCIPIOS DE LA DEMOCRACIA, LAS LIBERTADES INDIVIDUALES Y EL IMPERIO DE LA LEY; REAFIRMAN SU FE EN LOS PROPOSITOS Y PRINCIPIOS DE LA CARTA DE LAS NACIONES UNIDAS Y SU DESEO DE VIVIR EN PAZ CON TODOS LOS PUEBLOS Y TODOS LOS GOBIERNOS",F,Yes,No,No,No,Yes,Yes,No,Yes,"Individualidad_personal, Democracia, Libertad, Paz",No,No,Yes,"Combate_defensa_vigilancia_lucha, España, Estados_Unidos",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
ECDMT_21,Directiva 89/109/CEE del Consejo de 21 de diciembre de 1988 relativa a la aproximación de las legislaciones de los Estados Miembros sobre los materiales y objetos destinados a entrar en contacto con productos alimenticios,21/12/1988,1988-1990,"Considerando que el principio basico de la presente norma≠ tiva debe ser que todos los materiales y objetos que han de entrar o han entrado en contacto , conforme a su destino , con productos alimenticios, ya sea dicho contacto directo o indirecto , deben ser lo suficientemente inertes para no ceder componentes a dichos productos en una cantidad que pueda representar un peligro para la salud humana , ocasionar una modificacion inaceptable de la composicion de los alimentos o alterar sus caracteres organolepticos; ",O,No,"Yes, Plásticos",No,No,Yes,Yes,No,Yes,"Afecta_alimentos, Riesgo_salud_humana, Salud_vidas_humanas, Alimentación",Yes,Evaluación_riesgo,Yes,"Europa, Territorio_nacional_estado_miembro",No,No,Yes,"Byproducts, Estructuras_industriales_comerciales, Libre_comercialización_circulación, Mercado_europeo_mercado_común, Nuevos_productos, Afecta_mercado",No,No,Yes,"Byproducts, Toxicidad, Afecta_alimentos, Migración_plástico",No,No,No,No,No,No,No,No
DMRDMT_5,"Real Decreto 150/1989, de 3 de febrero, por el que se aprueba el Reglamento de Clasificación, Envasado y Etiquetado de Preparados Peligrosos Usados como Disolventes.",03/02/1989,1989-2015,"Por Real Decreto 2216/1985, de 23 de octubre, se aprobó el Reglamento sobre declaración de sustancias nuevas y clasificación, envasado y etiquetado de sustancias peligrosas, modifcado por Real Decreto 725/1988, de 3 de junio («Boletín Oficial del Estado» de 9 de julio). La disposición final segunda del primero de los Reales Decretos citados prevé la aprobación de Reglamentaciones correspondientes a los preparados de utilización común o generalizada que carezcan de ella. Entre dichos preparados se encuentran los disolventes, cuya clasificación, envasado y etiquetado se aprueban mediante el presente Real Decreto, partiendo de los criterios definidos en el citado Reglamento de Sustancias.",O,No,"Yes, Disolventes",No,No,Yes,Yes,Yes,Yes,"Persona_jurídica, Salud_pública, Salud_vidas_humanas",Yes,Categorías_riesgos,Yes,"Europa, España, Persona_jurídica",No,No,Yes,"Byproducts, Estructuras_industriales_comerciales",No,No,Yes,"Efectos_nocivos_sustancias_nocivas, Byproducts, Sustancias_tóxicas, Sustancias_peligrosas",No,No,No,No,No,No,No,No
VPRDMA_10,"Real Decreto 224/1989, de 3 de marzo, sobre medidas de financiación de actuaciones protegibles en materia de vivienda.",03/03/1989,1989-1991,"Finalizado el Plan Cuatrienal 1984-1987 se publicó el Real Decreto 1494/1987, de 4 de diciembre, sobre medidas de financiación de actuaciones protegibles en materia de vivienda, estableciendo el nuevo marco por el que se regulaban las intervenciones estatales directas en materia de vivienda.",F,No,Yes,No,No,Yes,Yes,No,Yes,"Afecta_población, Estabilidad_interna, Familia, Crecimiento_urbano, Afecta_Deudor_hipotecario, Clases_económicamente_más_débiles",Yes,"Sujetos_obligados_al_pago, Límites_prudenciales",Yes,"Mercado_español_economía, España",No,No,Yes,"Industria_turística, Servicio_público, Libre_comercialización_circulación, Entidades_financieras_crédito, Política_de_vivienda, Intervención_administrativa, Capital_privado, Banca_privada, Crédito, Viviendas_protección_estatal, Mercado_hipotecario, Hipoteca, Sector_hipotecario, Vivienda_libre, Segunda_vivienda",No,No,No,No,No,No,No,No,No,No,Yes,"Afecta_Deudor_hipotecario, Clases_económicamente_más_débiles"
